name,no_of_fte_students,no_of_students_per_staff,international_students,country,percent_female
Canada,NA,NA,NA,Explore,NA
University of Lahore,27149,14.8,2,Pakistan,37 
Kyungpook National University,18892,20.2,13,South Korea,47
Explore,NA,NA,NA,Kuwait University,NA
Kuwait,NA,NA,NA,Explore,NA
Kurume University,5062,7.6,2,Japan,n/a
Kobe University,15477,10.3,8,Japan,36 
KL University,17801,14.5,2,India,36 
Kingston University,14975,19.4,43,United Kingdom,58
King Mongkut’s University of Technology Thonburi,15116,19.8,2,Thailand,46
King Khalid University,39389,8.3,7,Saudi Arabia,55
King Faisal University,27805,13.1,2,Saudi Arabia,67
Kindai University,33234,14.6,2,Japan,32 
Kerman University of Medical Sciences,5226,3.4,2,Iran,n/a
Keio University,33636,10.1,8,Japan,37 
Kazan Federal University,22673,10.4,29,Russian Federation,66
Karlstad University,9698,14,,Sweden,63
Kansas State University,19927,13.1,7,United States,51
Juntendo University,5980,4.6,3,Japan,55
University of Jaén,13767,16.4,9,Spain,57
Iuliu Ha?ieganu University of Medicine and Pharmacy Cluj-Napoca,8017,7.9,33,Romania,66
ITMO University,10814,15,22,Russian Federation,34 
Istanbul Medeniyet University,10536,13.4,3,Turkey,52
The Islamia University of Bahawalpur,35698,28.5,0,Pakistan,46
ISCTE-University Institute of Lisbon,9374,24.9,17,Portugal,52
University of Ioannina,32168,39.6,3,Greece,69
Universitat Internacional de Catalunya,5172,14,34,Spain,63
Indian Institute of Technology Gandhinagar,1782,15.1,1,India,26 
Indian Institute of Technology Patna,2203,17.9,0,India,0.806944444
Hiroshima University,14612,8.1,9,Japan,37 
Guangdong University of Technology,46040,18.1,0,China,29 
University of Girona,14011,21.1,15,Spain,57
Fuzhou University,39987,16.8,1,China,39 
Fujita Health University,3082,3.8,1,Japan,57
Explore,NA,NA,NA,University of the Free State,NA
South Africa,NA,NA,NA,University of Foggia,NA
Italy,NA,NA,NA,Florida Atlantic University,NA
United States,NA,NA,NA,Florida Agricultural and Mechanical University,NA
United States,NA,NA,NA,Firat University,NA
Turkey,NA,NA,NA,Universidade Federal de Sergipe,NA
Brazil,NA,NA,NA,Federal University of Minas Gerais,NA
Brazil,NA,NA,NA,Ewha Womans University,NA
South Korea,NA,NA,NA,"University of Engineering and Technology, Peshawar",NA
Pakistan,NA,NA,NA,Edge Hill University,NA
United Kingdom,NA,NA,NA,Duzce University,NA
Turkey,NA,NA,NA,Donghua University,NA
China,NA,NA,NA,Diego Portales University,NA
Chile,NA,NA,NA,University of Deusto,NA
Spain,NA,NA,NA,University of Dayton,NA
United States,NA,NA,NA,CY Cergy Paris University,NA
France,NA,NA,NA,Coventry University,NA
United Kingdom,NA,NA,NA,Explore,NA
University of Clermont Auvergne,36630,20.9,15,France,57
Clemson University,23491,15.5,6,United States,49
Chulalongkorn University,34095,11.5,3,Thailand,58
Explore,NA,NA,NA,"China University of Petroleum, Beijing",NA
China,NA,NA,NA,Chengdu University,NA
China,NA,NA,NA,Explore,NA
Institute of Chemical Technology,2550,17.2,0,India,30 
Chapman University,9332,12.8,8,United States,61
University of Calabria,19788,23.2,3,Italy,57
Cairo University,224216,36.8,4,Egypt,54
University of Brighton,15015,16.8,22,United Kingdom,60
Bo?aziçi University,12614,22.3,3,Turkey,45
"Birla Institute of Technology and Science, Pilani",15651,18.1,2,India,0.847916667
Bilkent University,9682,14.2,8,Turkey,46
Bharathiar University,4097,18.8,0,India,63
University of Bergamo,22115,60.9,7,Italy,62
Beni-Suef University,82124,28.3,1,Egypt,50
University of Belgrade,93251,18.9,5,Serbia,62
University of Beira Interior,7861,17,22,Portugal,53
University of Bedfordshire,13175,29.6,59,United Kingdom,59
University of the Basque Country,43018,15.4,6,Spain,55
University of the Balearic Islands,11493,11.8,8,Spain,60
University of Aveiro,12566,15.1,10,Portugal,54
Explore,NA,NA,NA,Universidad Autónoma de Chile,NA
Chile,NA,NA,NA,Athens University of Economics and Business,NA
Greece,NA,NA,NA,Aristotle University of Thessaloniki,NA
Greece,NA,NA,NA,University of Applied Sciences and Arts of Western Switzerland,NA
Switzerland,NA,NA,NA,Anna University,NA
India,NA,NA,NA,American University in Cairo,NA
Egypt,NA,NA,NA,Aligarh Muslim University,NA
India,NA,NA,NA,Alexandria University,NA
Egypt,NA,NA,NA,University of Alcalá,NA
Spain,NA,NA,NA,Al-Balqa Applied University,NA
Jordan,NA,NA,NA,Al-Azhar University,NA
Egypt,NA,NA,NA,The University of Alabama,NA
United States,NA,NA,NA,The University of Aizu,NA
Japan,NA,NA,NA,"University of Agriculture, Faisalabad",NA
Pakistan,NA,NA,NA,University of the Aegean,NA
Greece,NA,NA,NA,Zhengzhou University,NA
China,NA,NA,NA,Yokohama City University,NA
Japan,NA,NA,NA,Xi’an Jiaotong-Liverpool University,NA
China,NA,NA,NA,Explore,NA
University of Wuppertal,15668,39.6,10,Germany,53
University of Wolverhampton,14900,17.2,24,United Kingdom,62
University of Windsor,14516,33.3,29,Canada,n/a
University of the West of Scotland,12120,22,20,United Kingdom,63
University of the Western Cape,23510,33.8,6,South Africa,61
Wenzhou University,21827,18.2,3,China,58
Paris Lodron Universität Salzburg,7169,11.9,34,Austria,66
Umm Al-Qura University,30207,8.3,11,Saudi Arabia,34 
Ulster University,17685,18.8,9,United Kingdom,57
University of Ulsan,12415,11,4,South Korea,48
TU Braunschweig,19676,9.8,17,Germany,40 
Tomsk State University,7806,11.7,36,Russian Federation,n/a
University of Toledo,17871,16.1,10,United States,52
Thapar Institute of Engineering and Technology,9375,16.9,1,India,28 
The University of Texas at San Antonio,27187,24.7,3,United States,51
University of Texas at Arlington,33537,29.5,13,United States,60
Universiti Teknologi Malaysia,19974,13.5,20,Malaysia,47
Tehran University of Medical Sciences,11605,6.4,11,Iran,57
University of Tehran,45295,21.5,2,Iran,45
Tallinn University of Technology,8739,12.6,17,Estonia,40 
Taif University,39622,19.6,2,Saudi Arabia,56
Tabriz University of Medical Sciences,8524,9.9,2,Iran,54
University of Tabriz,20983,27.2,6,Iran,49
SUNY Binghamton University,18852,22,11,United States,50
University of the Sunshine Coast,11118,29.6,16,Australia,69
Explore,NA,NA,NA,Sultan Qaboos University,NA
Oman,NA,NA,NA,University of Strasbourg,NA
France,NA,NA,NA,Southern Cross University,NA
Australia,NA,NA,NA,"Soochow University, China",NA
China,NA,NA,NA,Explore,NA
Shanghai University,37499,13.1,7,China,50
University of Campania Luigi Vanvitelli,33663,35.1,2,Italy,37 
Savitribai Phule Pune University,5163,12.1,6,India,43
University of Santiago de Compostela,24713,14.5,9,Spain,62
University of Sannio,2944,15.4,2,Italy,51
San Diego State University,31340,27.5,7,United States,56
Universiti Sains Malaysia,23492,11.6,17,Malaysia,64
RUDN University,21820,14,32,Russian Federation,58
Rovira i Virgili University,12975,12.6,13,Spain,60
Riphah International University,23590,21.5,0,Pakistan,50
Riga Stradi?š University,8512,19.5,28,Latvia,74
Rensselaer Polytechnic Institute,7475,14.7,21,United States,32 
University of Regina,14172,24.7,27,Canada,59
Université du Québec,50418,17.9,12,Canada,57
Qingdao University,42667,15.2,2,China,64
Universiti Putra Malaysia,18365,11.1,26,Malaysia,59
Prince Sattam Bin Abdulaziz University,27117,12.2,2,Saudi Arabia,58
Polytechnic University of Turin,29428,30.4,14,Italy,30 
Polytechnic University of Bari,9998,43.1,1,Italy,30 
Plekhanov Russian University of Economics,13994,8.7,13,Russian Federation,64
University of Perugia,24943,25.1,6,Italy,58
Universidad Peruana Cayetano Heredia,6028,6.7,0,Peru,67
University of Parma,28210,32.1,6,Italy,58
Oxford Brookes University,13575,14.2,25,United Kingdom,59
The Open University,68390,31.6,8,United Kingdom,65
Ontario Tech University,8969,28.6,8,Canada,44
Oklahoma State University,21250,14,6,United States,51
"University of Occupational and Environmental Health, Japan",1157,2.5,2,Japan,52
Explore,NA,NA,NA,NOVA University of Lisbon,NA
Portugal,NA,NA,NA,Norwegian University of Life Sciences,NA
Norway,NA,NA,NA,North-West University,NA
South Africa,NA,NA,NA,North South University,NA
Bangladesh,NA,NA,NA,University of North Carolina at Charlotte,NA
United States,NA,NA,NA,New Jersey Institute of Technology,NA
United States,NA,NA,NA,University of New Brunswick UNB,NA
Canada,NA,NA,NA,"University of Nevada, Las Vegas",NA
United States,NA,NA,NA,Near East University,NA
Northern Cyprus,NA,NA,NA,National Yunlin University of Science and Technology,NA
Taiwan,NA,NA,NA,National Institute of Technology Silchar,NA
India,NA,NA,NA,National Taiwan University of Science and Technology (Taiwan Tech),NA
Taiwan,NA,NA,NA,National University of Science and Technology (MISiS),NA
Russian Federation,NA,NA,NA,National Cheng Kung University (NCKU),NA
Taiwan,NA,NA,NA,Explore,NA
Nantes Université,36281,24,11,France,55
Nanjing Agricultural University,28184,17,2,China,n/a
University of Namibia,29369,21.8,3,Namibia,64
University of Nairobi,52678,34.5,2,Kenya,24 
University of Mohaghegh Ardabili,11435,28.7,0,Iran,56
Mizzou - University of Missouri,25113,11.8,4,United States,55
Minia University,75566,17.9,1,Egypt,54
Memorial University of Newfoundland,16098,14.9,21,Canada,56
Explore,NA,NA,NA,Medical University of Lodz,NA
Poland,NA,NA,NA,Massey University,NA
New Zealand,NA,NA,NA,Mashhad University of Medical Sciences,NA
Iran,NA,NA,NA,"University of Maryland, Baltimore County",NA
United States,NA,NA,NA,Marche Polytechnic University,NA
Italy,NA,NA,NA,Mansoura University,NA
Egypt,NA,NA,NA,Manchester Metropolitan University,NA
United Kingdom,NA,NA,NA,University of Malakand,NA
Pakistan,NA,NA,NA,Majmaah University,NA
Saudi Arabia,NA,NA,NA,Maharishi Markandeshwar University (MMU),NA
India,NA,NA,NA,Explore,NA
Lviv Polytechnic National University,21367,10.5,1,Ukraine,42
Louisiana State University,29191,18.2,5,United States,54
University of Lorraine,61210,20.2,17,France,53
London South Bank University,13050,16.8,35,United Kingdom,56
University of Limerick,14733,25.1,20,Ireland,50
Explore,NA,NA,NA,Lehigh University,NA
United States,NA,NA,NA,Lahore University of Management Sciences,NA
Pakistan,NA,NA,NA,Explore,NA
University of Kurdistan,12924,34.6,5,Iran,53
Kore University of Enna,5053,14.5,1,Italy,68
Konkuk University,13375,26.2,14,South Korea,49
King Saud bin Abdulaziz University for Health Sciences,7870,11.3,1,Saudi Arabia,50
KIIT University,24796,12.3,9,India,49
Explore,NA,NA,NA,Universiti Kebangsaan Malaysia,NA
Malaysia,NA,NA,NA,University of Kashan,NA
Iran,NA,NA,NA,Kansai Medical University,NA
Japan,NA,NA,NA,Kalasalingam Academy of Research and Education,NA
India,NA,NA,NA,University of Kaiserslautern,NA
Germany,NA,NA,NA,Jouf University,NA
Saudi Arabia,NA,NA,NA,The University of Jordan,NA
Jordan,NA,NA,NA,Jönköping University,NA
Sweden,NA,NA,NA,University of Johannesburg,NA
South Africa,NA,NA,NA,Explore,NA
Jinan University,41858,16.6,27,China,56
Explore,NA,NA,NA,Jiangsu University,NA
China,NA,NA,NA,Jawaharlal Nehru University,NA
India,NA,NA,NA,Jamia Hamdard University,NA
India,NA,NA,NA,Jagiellonian University,NA
Poland,NA,NA,NA,Istanbul Technical University,NA
Turkey,NA,NA,NA,Iran University of Medical Sciences,NA
Iran,NA,NA,NA,"International Islamic University, Islamabad",NA
Pakistan,NA,NA,NA,Indraprastha Institute of Information Technology Delhi,NA
India,NA,NA,NA,Indian Institute of Technology Indore,NA
India,NA,NA,NA,Imam Abdulrahman Bin Faisal University,NA
Saudi Arabia,NA,NA,NA,Ilam University of Medical Sciences,NA
Iran,NA,NA,NA,Icesi University,NA
Colombia,NA,NA,NA,University of Huddersfield,NA
United Kingdom,NA,NA,NA,University of Houston,NA
United States,NA,NA,NA,University of Hertfordshire,NA
United Kingdom,NA,NA,NA,Hazara University Mansehra,NA
Pakistan,NA,NA,NA,Hamburg University of Technology,NA
Germany,NA,NA,NA,University of Haifa,NA
Israel,NA,NA,NA,Hacettepe University,NA
Turkey,NA,NA,NA,Guangzhou Medical University,NA
China,NA,NA,NA,Guangzhou University,NA
China,NA,NA,NA,Graz University of Technology,NA
Austria,NA,NA,NA,University of Graz,NA
Austria,NA,NA,NA,Graphic Era University,NA
India,NA,NA,NA,University of Granada,NA
Spain,NA,NA,NA,Glasgow Caledonian University,NA
United Kingdom,NA,NA,NA,University of Georgia,NA
United States,NA,NA,NA,Gabriele d‘Annunzio University,NA
Italy,NA,NA,NA,Financial University under the Government of the Russian Federation,NA
Russian Federation,NA,NA,NA,Federation University Australia,NA
Australia,NA,NA,NA,Explore,NA
Universidade Federal de São Paulo (UNIFESP),18877,10.3,1,Brazil,59
Universidade Federal do Rio Grande do Sul,39169,14.1,1,Brazil,52
Fayoum University,44786,16.8,0,Egypt,62
Eötvös Loránd University,30190,17.5,9,Hungary,62
Explore,NA,NA,NA,ENSTA Bretagne,NA
France,NA,NA,NA,"University of Engineering and Technology, Taxila",NA
Pakistan,NA,NA,NA,Universidade Eduardo Mondlane,NA
Mozambique,NA,NA,NA,University of Eastern Finland,NA
Finland,NA,NA,NA,Dow University of Health Sciences,NA
Pakistan,NA,NA,NA,University of Dhaka,NA
Bangladesh,NA,NA,NA,University of Desarrollo,NA
Chile,NA,NA,NA,University of Derby,NA
United Kingdom,NA,NA,NA,De Montfort University,NA
United Kingdom,NA,NA,NA,Delhi Technological University,NA
India,NA,NA,NA,Dalian University of Technology,NA
China,NA,NA,NA,Cyprus University of Technology,NA
Cyprus,NA,NA,NA,Covenant University,NA
Nigeria,NA,NA,NA,Explore,NA
University of Costa Rica,31545,13.4,2,Costa Rica,53
University of Córdoba,16847,13.5,10,Spain,56
Concordia University,35592,33.5,34,Canada,50
COMSATS University Islamabad,33465,14.8,2,Pakistan,42
University of Colombo,31792,31.9,0,Sri Lanka,58
University of Coimbra,21429,18,19,Portugal,58
Clark University,3273,11.6,25,United States,59
Chung-Ang University,18101,22.7,22,South Korea,n/a
Chongqing University,40696,19.9,3,China,n/a
Explore,NA,NA,NA,Central Queensland University,NA
Australia,NA,NA,NA,Explore,NA
University of Central Florida,62248,36.1,5,United States,56
Carleton University,28760,29.7,22,Canada,49
Capital Medical University,15254,4.9,5,China,62
University of Canterbury,15245,18.4,22,New Zealand,51
Explore,NA,NA,NA,University of Camerino (Unicam),NA
Italy,NA,NA,NA,Ca’ Foscari University of Venice,NA
Italy,NA,NA,NA,Université Bourgogne Franche-Comté (UBFC),NA
France,NA,NA,NA,Benha University,NA
Egypt,NA,NA,NA,Ben-Gurion University of the Negev,NA
Israel,NA,NA,NA,Beirut Arab University,NA
Lebanon,NA,NA,NA,Baylor University,NA
United States,NA,NA,NA,Bar-Ilan University,NA
Israel,NA,NA,NA,University of Bari Aldo Moro,NA
Italy,NA,NA,NA,Banaras Hindu University,NA
India,NA,NA,NA,Bahria University,NA
Pakistan,NA,NA,NA,Bahçe?ehir University,NA
Turkey,NA,NA,NA,University of Babylon,NA
Iraq,NA,NA,NA,Azarbaijan Shahid Madani University,NA
Iran,NA,NA,NA,Auburn University,NA
United States,NA,NA,NA,University of Arkansas,NA
United States,NA,NA,NA,University of Antofagasta,NA
Chile,NA,NA,NA,Amirkabir University of Technology,NA
Iran,NA,NA,NA,American University of Sharjah,NA
United Arab Emirates,NA,NA,NA,American University,NA
United States,NA,NA,NA,Amedeo Avogadro University of Eastern Piedmont,NA
Italy,NA,NA,NA,Ajou University,NA
South Korea,NA,NA,NA,Ahvaz Jundishapur University of Medical Sciences (AJUMS),NA
Iran,NA,NA,NA,Addis Ababa University,NA
Ethiopia,NA,NA,NA,Åbo Akademi University,NA
Finland,NA,NA,NA,Abdul Wali Khan University Mardan,NA
Pakistan,NA,NA,NA,Zhejiang Normal University,NA
China,NA,NA,NA,Zayed University,NA
United Arab Emirates,NA,NA,NA,University of Zambia,NA
Zambia,NA,NA,NA,Xi’an Jiaotong University,NA
China,NA,NA,NA,The University of the West Indies,NA
Jamaica,NA,NA,NA,Explore,NA
Wayne State University,22941,11.9,5,United States,59
Virginia Commonwealth University,26472,10.7,4,United States,63
Victoria University,16106,45.2,25,Australia,55
University of Vic – Central University of Catalonia,6472,14,20,Spain,60
University of Valencia,50575,14.3,14,Spain,58
UiT The Arctic University of Norway,14377,10.1,10,Norway,58
University of Udine,12326,18.5,5,Italy,54
University of Tuscia,6272,20,4,Italy,54
TU Dortmund University,25046,74.8,10,Germany,47
University of Tsukuba,15725,12.7,16,Japan,38 
University of Trieste,16677,24.9,7,Italy,57
Tokyo Medical and Dental University (TMDU),3010,4.4,11,Japan,50
Technion Israel Institute of Technology,15147,21,12,Israel,39 
University of Tabuk,29471,14.4,2,Saudi Arabia,57
SUNY University at Albany,16090,17.2,8,United States,55
Stevens Institute of Technology,6624,18.6,35,United States,29 
University of Stavanger,11089,11.4,11,Norway,58
Southwestern University of Finance and Economics,23330,16.4,2,China,65
University of South Carolina-Columbia,33025,15.6,5,United States,55
SOAS University of London,4655,12.8,53,United Kingdom,67
Shiraz University of Technology,1437,13.8,0,Iran,37 
Sciences Po,12872,45.2,37,France,61
Saveetha Institute of Medical and Technical Sciences,12394,7.4,1,India,38 
Explore,NA,NA,NA,University of Sassari,NA
Italy,NA,NA,NA,University of Saskatchewan,NA
Canada,NA,NA,NA,University of Salerno,NA
Italy,NA,NA,NA,Saint-Petersburg Mining University,NA
Russian Federation,NA,NA,NA,Universitat Ramon Llull,NA
Spain,NA,NA,NA,University of Peradeniya,NA
Sri Lanka,NA,NA,NA,Open University of Catalonia,NA
Spain,NA,NA,NA,Nottingham Trent University,NA
United Kingdom,NA,NA,NA,Northwestern Polytechnical University,NA
China,NA,NA,NA,Northumbria University,NA
United Kingdom,NA,NA,NA,University of Nicosia,NA
Cyprus,NA,NA,NA,Explore,NA
University of Neuchâtel,4148,11.1,21,Switzerland,61
National Yang Ming Chiao Tung University,16425,14.2,11,Taiwan,36 
National Tsing Hua University,13711,16.3,11,Taiwan,41
University of Mons,7450,26.9,17,Belgium,57
Missouri University of Science and Technology,7617,22.3,9,United States,1.011805556
Middle East Technical University,17151,22.5,10,Turkey,48
University of Messina,15290,24.2,3,Italy,63
University of Management and Technology,22520,22.2,2,Pakistan,45
University of Lisbon,48404,18.1,18,Portugal,53
University of Lille,75291,29.6,14,France,60
Lebanese American University,7057,10.1,19,Lebanon,52
Kyushu University,18568,7.8,14,Japan,29 
University of Kragujevac,16679,15.8,1,Serbia,57
Kermanshah University of Medical Sciences,5759,9.6,12,Iran,53
University of Kentucky,27216,11.2,4,United States,57
Keele University,9170,15.3,16,United Kingdom,59
Kashan University of Medical Sciences and Health Services,3419,12.8,2,Iran,38 
Kafrelsheikh University,62533,26.1,2,Egypt,48
Jordan University of Science and Technology,25905,14.9,13,Jordan,57
Johannes Kepler University of Linz,7133,22.5,13,Austria,50
Jimma University,30473,16.3,0,Ethiopia,30 
Jamia Millia Islamia,10481,11.2,2,India,49
Constructor University,1556,21.6,84,Germany,43
Explore,NA,NA,NA,"Islamic Azad University, Najafabad Branch (IAUN)",NA
Iran,NA,NA,NA,Iran University of Science and Technology,NA
Iran,NA,NA,NA,"International Institute of Information Technology, Hyderabad",NA
India,NA,NA,NA,University of Insubria,NA
Italy,NA,NA,NA,Indian Institute of Technology Ropar,NA
India,NA,NA,NA,University of Iceland,NA
Iceland,NA,NA,NA,University of Hull,NA
United Kingdom,NA,NA,NA,Hong Kong Baptist University,NA
Hong Kong,NA,NA,NA,Explore,NA
Hokkaido University,18263,8.4,11,Japan,30 
Heriot-Watt University,9735,17.9,37,United Kingdom,40 
Explore,NA,NA,NA,Harokopio University,NA
Greece,NA,NA,NA,Gwangju Institute of Science and Technology (GIST),NA
South Korea,NA,NA,NA,University of Guelph,NA
Canada,NA,NA,NA,University of Greenwich,NA
United Kingdom,NA,NA,NA,Government College University Faisalabad,NA
Pakistan,NA,NA,NA,"Goldsmiths, University of London",NA
United Kingdom,NA,NA,NA,University of Fribourg,NA
Switzerland,NA,NA,NA,Florida International University,NA
United States,NA,NA,NA,Federal University of Toulouse Midi-Pyrénées,NA
France,NA,NA,NA,École des Mines de Saint-Étienne,NA
France,NA,NA,NA,Eastern Mediterranean University,NA
Northern Cyprus,NA,NA,NA,Durban University of Technology,NA
South Africa,NA,NA,NA,Damietta University,NA
Egypt,NA,NA,NA,University of Côte d’Azur,NA
France,NA,NA,NA,Charles University in Prague,NA
Czech Republic,NA,NA,NA,Changsha University of Science and Technology,NA
China,NA,NA,NA,Centrale Nantes,NA
France,NA,NA,NA,Bucharest University of Economic Studies,NA
Romania,NA,NA,NA,University of Bradford,NA
United Kingdom,NA,NA,NA,Birmingham City University,NA
United Kingdom,NA,NA,NA,Beijing Institute of Technology,NA
China,NA,NA,NA,Beihang University,NA
China,NA,NA,NA,Bauman Moscow State Technical University,NA
Russian Federation,NA,NA,NA,University of L’Aquila,NA
Italy,NA,NA,NA,An-Najah National University,NA
Palestine,NA,NA,NA,Aberystwyth University,NA
United Kingdom,NA,NA,NA,York University,NA
Canada,NA,NA,NA,Explore,NA
Xiamen University,42760,15.4,2,China,n/a
William & Mary,8089,10.9,8,United States,56
University of the West of England,24585,15.9,23,United Kingdom,53
University of Waikato,10472,17.6,31,New Zealand,59
Victoria University of Wellington,17883,18.8,20,New Zealand,58
Explore,NA,NA,NA,Universiti Utara Malaysia,NA
Malaysia,NA,NA,NA,Urmia University of Medical Sciences,NA
Iran,NA,NA,NA,Umeå University,NA
Sweden,NA,NA,NA,TU Wien,NA
Austria,NA,NA,NA,University of Turin,NA
Italy,NA,NA,NA,The University of Tulsa,NA
United States,NA,NA,NA,University of Trento,NA
Italy,NA,NA,NA,Ton Duc Thang University,NA
Vietnam,NA,NA,NA,Explore,NA
Tianjin University,27353,8.7,12,China,n/a
Explore,NA,NA,NA,Universiti Teknologi Petronas,NA
Malaysia,NA,NA,NA,Syracuse University,NA
United States,NA,NA,NA,Sumy State University,NA
Ukraine,NA,NA,NA,University of Strathclyde,NA
United Kingdom,NA,NA,NA,SRUC (Scotland’s Rural College),NA
United Kingdom,NA,NA,NA,Southern Medical University,NA
China,NA,NA,NA,Southeast University,NA
China,NA,NA,NA,South China University of Technology,NA
China,NA,NA,NA,University of Siena,NA
Italy,NA,NA,NA,Shenzhen University,NA
China,NA,NA,NA,Sharif University of Technology,NA
Iran,NA,NA,NA,Sabanc? University,NA
Turkey,NA,NA,NA,Explore,NA
Quaid-i-Azam University,9250,16.5,1,Pakistan,51
Qom University of Medical Sciences,2272,9.1,4,Iran,57
Qazvin University of Medical Sciences,2598,9.2,1,Iran,57
University of Portsmouth,22490,16.4,29,United Kingdom,47
University of Porto,33484,16.2,16,Portugal,55
Pontificia Universidad Católica de Chile,31578,16,4,Chile,n/a
University of Plymouth,15605,17.7,16,United Kingdom,58
University of Pisa,33791,21.9,6,Italy,51
University of Passau,9703,69.2,12,Germany,61
Örebro University,10005,15.2,5,Sweden,61
Nova Southeastern University,17952,16.3,4,United States,70
Norwegian University of Science and Technology,37707,15.8,9,Norway,48
University of Nebraska Medical Center,3181,2,9,United States,69
University of Nebraska-Lincoln,24909,16.8,10,United States,49
National Research Nuclear University MEPhI,5016,9.2,31,Russian Federation,40 
National and Kapodistrian University of Athens,66649,31,11,Greece,59
Murdoch University,16641,36.5,40,Australia,61
Muhimbili University of Health and Allied Sciences,3626,11.3,3,Tanzania,41
University of Modena and Reggio Emilia,21409,26.9,5,Italy,53
Middlesex University,15905,18.7,50,United Kingdom,58
Maynooth University,11454,28.5,15,Ireland,55
University of Marburg,23383,31.2,12,Germany,56
Mahatma Gandhi University,1855,14.6,2,India,61
Liverpool John Moores University,21725,17.4,16,United Kingdom,54
University of Lincoln,14480,15.7,13,United Kingdom,55
Lincoln University,2492,13.3,44,New Zealand,51
Leibniz University Hannover,21677,43.7,18,Germany,42
University of Lagos,36237,21.5,0,Nigeria,48
University of KwaZulu-Natal,35795,30.1,2,South Africa,60
Explore,NA,NA,NA,Koç University,NA
Turkey,NA,NA,NA,University of Klagenfurt,NA
Austria,NA,NA,NA,University of Kansas,NA
United States,NA,NA,NA,University of Jyväskylä,NA
Finland,NA,NA,NA,Justus Liebig University Giessen,NA
Germany,NA,NA,NA,Jazan University,NA
Saudi Arabia,NA,NA,NA,Iowa State University,NA
United States,NA,NA,NA,University of International Business and Economics,NA
China,NA,NA,NA,Explore,NA
Institut Agro,2148,11.5,16,France,65
University of Innsbruck,13918,22,46,Austria,53
Illinois Institute of Technology,6386,11.5,41,United States,37 
University of Ibadan,26156,17.6,0,Nigeria,49
Hunan University,41580,18.6,2,China,47
HSE University,32102,17.5,11,Russian Federation,n/a
Hanyang University,20079,14.6,20,South Korea,n/a
Explore,NA,NA,NA,Université Grenoble Alpes,NA
France,NA,NA,NA,Georgia State University,NA
United States,NA,NA,NA,University of Genoa,NA
Italy,NA,NA,NA,Free University of Bozen-Bolzano,NA
Italy,NA,NA,NA,University of Florence,NA
Italy,NA,NA,NA,University of Ferrara,NA
Italy,NA,NA,NA,Ferhat Abbas Sétif University 1,NA
Algeria,NA,NA,NA,University of Electronic Science and Technology of China,NA
China,NA,NA,NA,Edinburgh Napier University,NA
United Kingdom,NA,NA,NA,Duy Tan University,NA
Vietnam,NA,NA,NA,Dublin City University,NA
Ireland,NA,NA,NA,University of Denver,NA
United States,NA,NA,NA,University of Cyprus,NA
Cyprus,NA,NA,NA,Explore,NA
University of Crete,13808,27.6,4,Greece,63
University of Connecticut,27752,13.6,12,United States,52
Complutense University of Madrid,61128,20.3,12,Spain,62
"Colorado State University, Fort Collins",29351,17.7,6,United States,55
Colorado School of Mines,6350,17.6,9,United States,31 
Claude Bernard University Lyon 1,28253,13,14,France,54
University of Catania,26902,21.2,3,Italy,58
Cankaya University,7113,25.4,1,Turkey,46
University of Campinas,31199,17.8,3,Brazil,46
Brunel University London,13040,17,39,United Kingdom,47
University of Bayreuth,9734,26.6,12,Germany,47
Bangor University,8790,15.7,26,United Kingdom,61
Babol Noshirvani University of Technology,6180,28.7,0,Iran,33 
Babol University of Medical Sciences,4102,11.8,0,Iran,58
Aswan University,31877,46.7,2,Egypt,55
Aston University,12015,17.8,25,United Kingdom,48
Arak University of Medical Sciences,3500,7.4,1,Iran,56
University of Alaska Fairbanks,2910,7.2,6,United States,53
Alagappa University,4831,15.7,0,India,63
Wroclaw Medical University,6769,9.4,14,Poland,71
Washington State University,29463,19.5,7,United States,54
Wake Forest University,8122,4,10,United States,54
Verona University,18621,23.8,4,Italy,64
University of Vaasa,3873,20,4,Finland,53
Explore,NA,NA,NA,University of Turku,NA
Finland,NA,NA,NA,Explore,NA
Tulane University,11220,7.5,11,United States,58
University of Texas at Dallas,25464,21.6,20,United States,43
Swedish University of Agricultural Sciences,4216,4.6,7,Sweden,70
University of Stirling,9855,16,27,United Kingdom,64
Shoolini University of Biotechnology and Management Sciences,2973,14.3,2,India,45
Rush University,2757,2.1,1,United States,76
Royal Veterinary College,2250,10.5,30,United Kingdom,80
"Royal Holloway, University of London",10640,15.1,35,United Kingdom,57
University of Rome II – Tor Vergata,24038,30.3,20,Italy,56
North Carolina State University,31540,16.6,14,United States,48
University of New Mexico (Main campus),18046,16.9,5,United States,56
University of Naples Federico II,53319,20.2,2,Italy,55
Mazandaran University of Medical Sciences,7845,15.1,1,Iran,57
University of Manitoba,29561,29.4,20,Canada,54
University of Malaya,18320,9.8,18,Malaysia,58
Loughborough University,15815,13.8,29,United Kingdom,41
University of Liège,21910,26.8,21,Belgium,58
Leuphana University of Lüneburg,7839,26.1,7,Germany,62
Kurdistan University of Medical Sciences,3181,10.5,2,Iran,49
Khalifa University,3029,8.8,22,United Arab Emirates,58
Explore,NA,NA,NA,University of Kent,NA
United Kingdom,NA,NA,NA,JSS Academy of Higher Education and Research,NA
India,NA,NA,NA,James Cook University,NA
